mil_time,variable,value
7,Tower,NA
7,Tower,NA
7,Tower,NA
7,Tower,NA
7,Tower,0.331609216
7,Tower,NA
7,Tower,0.264645137
7,Tower,NA
7,Tower,0.169195505
7,Tower,NA
7,Tower,NA
7,Tower,NA
7,Tower,0.225949057
7,Tower,NA
8,Tower,-0.06301542
8,Tower,0.159945502
8,Tower,NA
8,Tower,0.298623777
8,Tower,NA
8,Tower,0.378170444
8,Tower,NA
8,Tower,NA
8,Tower,0.176609221
8,Tower,NA
8,Tower,0.295688194
8,Tower,0.244036083
8,Tower,NA
8,Tower,NA
9,Tower,0.192994618
9,Tower,0.309781062
9,Tower,NA
9,Tower,0.236212412
9,Tower,0.305894013
9,Tower,NA
9,Tower,NA
9,Tower,NA
9,Tower,0.238568918
9,Tower,0.152166922
9,Tower,0.292456147
9,Tower,0.261573126
9,Tower,NA
9,Tower,NA
10,Tower,0.884781177
10,Tower,0.20718335
10,Tower,0.200676576
10,Tower,NA
10,Tower,0.284943931
10,Tower,NA
10,Tower,NA
10,Tower,0.344666652
10,Tower,0.289011976
10,Tower,NA
10,Tower,0.235798159
10,Tower,0.303039995
10,Tower,NA
10,Tower,NA
11,Tower,0.266437348
11,Tower,0.226222365
11,Tower,0.225030962
11,Tower,0.180486705
11,Tower,0.196968875
11,Tower,0.222897695
11,Tower,NA
11,Tower,0.23251835
11,Tower,0.184457055
11,Tower,0.240098881
11,Tower,0.266508444
11,Tower,NA
11,Tower,NA
11,Tower,NA
12,Tower,0.31385924
12,Tower,0.295604055
12,Tower,0.281427032
12,Tower,0.279476599
12,Tower,0.40458992
12,Tower,0.404386184
12,Tower,0.223881641
12,Tower,0.396946304
12,Tower,0.252418329
12,Tower,0.289444369
12,Tower,0.279455761
12,Tower,0.300202278
12,Tower,0.317694482
12,Tower,0.395378112
13,Tower,0.342222215
13,Tower,0.344730521
13,Tower,0.326825084
13,Tower,0.250098613
13,Tower,0.273266565
13,Tower,0.275361197
13,Tower,0.386383228
13,Tower,0.370694729
13,Tower,0.314464173
13,Tower,0.262158399
13,Tower,0.296723163
13,Tower,0.257636719
13,Tower,0.322999766
13,Tower,0.269141502
14,Tower,0.258568399
14,Tower,0.288847377
14,Tower,0.30695318
14,Tower,0.351439027
14,Tower,0.338411428
14,Tower,0.435164711
14,Tower,0.332337352
14,Tower,0.345568622
14,Tower,0.20995324
14,Tower,0.281127535
14,Tower,0.312728823
14,Tower,0.409144835
14,Tower,0.387361326
14,Tower,0.342707431
15,Tower,0.394051864
15,Tower,0.263753066
15,Tower,0.276169059
15,Tower,0.362084475
15,Tower,0.285343599
15,Tower,0.415915555
15,Tower,0.376059282
15,Tower,0.418866935
15,Tower,0.267281528
15,Tower,0.317177215
15,Tower,0.263121891
15,Tower,0.403490563
15,Tower,0.543298581
15,Tower,0.271570716
16,Tower,0.301668933
16,Tower,0.273081779
16,Tower,0.363219474
16,Tower,0.332278584
16,Tower,0.194052046
16,Tower,NA
16,Tower,0.385745836
16,Tower,0.293910942
16,Tower,0.433175051
16,Tower,0.319596546
16,Tower,0.303272494
16,Tower,0.210361585
16,Tower,NA
16,Tower,0.287119258
17,Tower,0.301504
17,Tower,0.280594521
17,Tower,0.270964727
17,Tower,0.382167291
17,Tower,0.446159094
17,Tower,NA
17,Tower,NA
17,Tower,0.328782183
17,Tower,0.216288911
17,Tower,0.397087039
17,Tower,0.351189905
17,Tower,0.487518966
17,Tower,NA
17,Tower,NA
18,Tower,0.464850899
18,Tower,0.208700006
18,Tower,0.327048701
18,Tower,0.203764906
18,Tower,0.248461255
18,Tower,NA
18,Tower,NA
18,Tower,0.313949097
18,Tower,0.382789748
18,Tower,0.406275295
18,Tower,0.473241678
18,Tower,0.277200649
18,Tower,NA
18,Tower,NA
19,Tower,0.354858755
19,Tower,0.302504424
19,Tower,0.325040468
19,Tower,0.610977592
19,Tower,0.385473468
19,Tower,NA
19,Tower,0.275531673
19,Tower,0.289198926
19,Tower,0.287801625
19,Tower,0.304095791
19,Tower,NA
19,Tower,0.530893229
19,Tower,NA
19,Tower,0.382265691
