mil_time,variable,value
7,Tower,1.781569783
7,Tower,3.23468583
7,Tower,6.971641002
7,Tower,0.501007092
7,Tower,13.32649445
7,Tower,4.371845733
7,Tower,6.614771753
7,Tower,-5.568584762
7,Tower,5.311368922
7,Tower,11.09632546
7,Tower,0.161968614
7,Tower,0.976008983
7,Tower,4.346914277
7,Tower,1.18372115
8,Tower,-13.85384294
8,Tower,-0.229739153
8,Tower,-10.45085863
8,Tower,-2.575485273
8,Tower,2.650386306
8,Tower,6.931759919
8,Tower,2.182763613
8,Tower,0.138712347
8,Tower,-9.229387057
8,Tower,9.294466294
8,Tower,-2.590094871
8,Tower,-15.73427345
8,Tower,1.289903668
8,Tower,NA
9,Tower,0.807730464
9,Tower,-6.123465617
9,Tower,10.85513826
9,Tower,-1.848423213
9,Tower,2.680175361
9,Tower,-3.036900122
9,Tower,NA
9,Tower,7.489382348
9,Tower,-7.289888473
9,Tower,-0.403171676
9,Tower,-5.878059547
9,Tower,-9.78805708
9,Tower,-3.900055287
9,Tower,NA
10,Tower,20.1749775
10,Tower,-6.849283286
10,Tower,-5.074624274
10,Tower,-3.921185201
10,Tower,4.034705129
10,Tower,-3.592788969
10,Tower,NA
10,Tower,-6.519778057
10,Tower,-3.748124673
10,Tower,-5.507048831
10,Tower,-6.439866862
10,Tower,-9.437731618
10,Tower,-5.216563959
10,Tower,NA
11,Tower,-6.797136815
11,Tower,-12.65234356
11,Tower,-8.491994039
11,Tower,-2.52414195
11,Tower,-3.655630533
11,Tower,-6.577208568
11,Tower,NA
11,Tower,-6.317929017
11,Tower,-6.437800216
11,Tower,-7.450346053
11,Tower,-8.735235213
11,Tower,-5.784337566
11,Tower,-5.148998874
11,Tower,-7.53941776
12,Tower,-7.676295959
12,Tower,-11.27940831
12,Tower,-9.13557122
12,Tower,-8.417353395
12,Tower,-7.549382333
12,Tower,-8.94236206
12,Tower,3.396689059
12,Tower,-7.980785588
12,Tower,-5.411605608
12,Tower,-8.028562098
12,Tower,-7.259353256
12,Tower,-2.337798083
12,Tower,-7.087364397
12,Tower,-7.8272761
13,Tower,-9.27217203
13,Tower,-9.062015777
13,Tower,-9.065092867
13,Tower,-7.811770933
13,Tower,-6.823390559
13,Tower,-9.846531235
13,Tower,-6.787493879
13,Tower,-7.897751998
13,Tower,-6.375420777
13,Tower,-8.814371429
13,Tower,-7.957597821
13,Tower,-6.243234269
13,Tower,-5.550479991
13,Tower,-4.194673371
14,Tower,-6.663679242
14,Tower,-5.869274328
14,Tower,-10.3994718
14,Tower,-9.269100087
14,Tower,-4.216879941
14,Tower,-9.558778276
14,Tower,-7.566782296
14,Tower,-8.695166716
14,Tower,-5.464081553
14,Tower,-7.069220609
14,Tower,3.881788605
14,Tower,-6.511182587
14,Tower,-6.475220435
14,Tower,-6.906352809
15,Tower,-8.250350206
15,Tower,-6.707583636
15,Tower,-8.668037877
15,Tower,-8.199677831
15,Tower,-7.103843996
15,Tower,-6.675958256
15,Tower,-8.549036043
15,Tower,-8.830997025
15,Tower,-7.469713699
15,Tower,-7.700332647
15,Tower,-6.918603704
15,Tower,-9.854426676
15,Tower,-2.355056132
15,Tower,-1.960669715
16,Tower,-4.32369137
16,Tower,-6.85844665
16,Tower,-8.01881211
16,Tower,-7.734978409
16,Tower,-3.482206298
16,Tower,-0.625293849
16,Tower,-1.304068052
16,Tower,-6.681037409
16,Tower,-8.15731066
16,Tower,-15.80973415
16,Tower,-6.521989981
16,Tower,-4.06033599
16,Tower,2.869062053
16,Tower,0.974536144
17,Tower,-4.357453997
17,Tower,-5.434012862
17,Tower,-5.934292368
17,Tower,-6.686116021
17,Tower,-8.084057183
17,Tower,NA
17,Tower,-3.165478485
17,Tower,-6.560484485
17,Tower,-3.637507078
17,Tower,-7.305837555
17,Tower,-6.807950804
17,Tower,-8.582920537
17,Tower,NA
17,Tower,-16.83686285
18,Tower,-3.172950489
18,Tower,-3.812267901
18,Tower,-5.18589155
18,Tower,-3.386533536
18,Tower,-3.998389354
18,Tower,NA
18,Tower,-72.47538304
18,Tower,-4.101246828
18,Tower,-3.297379549
18,Tower,-4.496410553
18,Tower,-5.035028663
18,Tower,-3.835146387
18,Tower,NA
18,Tower,2.39848848
19,Tower,-1.286428029
19,Tower,-3.377941798
19,Tower,-3.382838991
19,Tower,-3.705368939
19,Tower,-2.237555695
19,Tower,NA
19,Tower,26.1306401
19,Tower,-1.918602977
19,Tower,0.594764214
19,Tower,-2.336377249
19,Tower,-1.733777671
19,Tower,-1.121021822
19,Tower,NA
19,Tower,-1.72664258
