Date,Month,Interval,Veg,mil_time,Name,chamber,Site,CO2_Flux,CO2_NRMSE,CH4_Flux,CH4_NRMSE,Bubble_Flux,Temp,Depth,cdepth,level,presens1,presens6,Notes
8182022,August,morning,n,7,August_O7A,1,O1: 7AM,2.705939,0.498865,0.000941,0.423703,0,16.65,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,7,August_O7A,2,O2: 7 AM,2.353624,0.31448,-0.000908,0.243889,0,16.55,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,7,August_O7A,3,O3: 7 AM,1.670095,0.73809,0.002305,0.651094,0,15.85,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,8,August_O8,7,O1: 8 AM,1.512518,0.377964,-0.000043,0.298766,0,16.5,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,8,August_O8,8,O2: 8 AM,2.02432,0.535231,0.001835,0.296802,0,17.4,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,8,August_O8,9,O3: 8 AM,2.777781,0.28135,0.005502,0.219837,0,16.75,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,9,August_O9,13,O1: 9 AM,2.718082,0.205085,0.001242,0.151364,0,18.85,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,9,August_O9,14,O2: 9 AM,2.694208,0.383864,0.000978,0.139629,0,18.85,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,9,August_O9,15,O3: 9 AM,0.955769,0.34388,0.002051,0.405103,0,21.25,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,10,August_O10,19,O1: 10 AM,1.060289,0.493964,-0.002065,0.177137,0,21.15,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,10,August_O10,20,O2: 10 AM,2.572038,0.13437,0.000457,0.08526,0,21.25,0.82,0.78,low,6.78,4.94,
8182022,August,morning,n,10,August_O10,21,O3: 10 AM,0.284706,0.29558,0.012935,0.290191,0,25.1,0.82,0.78,low,6.78,4.94,
8182022,August,afternoon,n,11,August_O11,25,O1: 11 AM,1.619891,0.257516,-0.00003,0.11734,0,25.1,0.82,0.79,low,6.78,4.94,
8182022,August,afternoon,n,11,August_O11,26,O2: 11 AM,2.098982,0.395063,0.000285,0.095418,0,24.15,0.82,0.78,low,6.78,4.94,
8182022,August,afternoon,n,11,August_O11,27,O3: 11 AM,0.683266,1.372795,0.006231,0.336848,0,27.45,0.82,0.78,low,6.78,4.94,
8182022,August,afternoon,n,12,August_O12,31,O1: 12 PM,0.659056,0.522455,-0.001496,0.731652,0,28,0.82,0.79,low,6.78,4.94,
8182022,August,afternoon,n,12,August_O12,32,O2: 12 PM,2.407404,0.358231,0.000596,0.083875,0,29.1,0.82,0.79,low,6.78,4.94,
8182022,August,afternoon,n,12,August_O12,33,O3: 12 PM,3.669025,0.383079,0.002323,0.342168,0,25.35,0.82,0.79,low,6.78,4.94,
8182022,August,afternoon,n,13,August_O1,37,O1: 1 PM,1.127703,0.133352,0.001227,0.097976,0,31.6,0.82,0.79,low,6.78,4.94,
8182022,August,afternoon,n,13,August_O1,38,O2: 1 PM,3.173058,0.492714,0.001094,0.106339,0,30.95,0.82,0.79,low,6.78,4.94,
8182022,August,afternoon,n,13,August_O1,39,O3: 1 PM,3.469633,0.488375,0.013284,0.247749,0,23.75,0.82,0.79,low,6.78,4.94,
8182022,August,afternoon,n,14,August_O2,43,O1: 2 PM,0.982517,0.415277,0.001399,0.112287,0,29.7,0.82,0.79,low,6.78,4.94,
8182022,August,afternoon,n,14,August_O2,44,O2: 2 PM,2.014582,0.303378,0.003654,0.116028,0,30.05,0.82,0.79,low,6.78,4.94,
8182022,August,afternoon,n,14,August_O2,45,O3: 2 PM,2.797575,0.946517,0.005325,0.309441,0,21.65,0.81,0.78,low,6.78,4.94,
8182022,August,evening,n,15,August_O3,49,O1: 3 PM,2.533084,0.312985,0.004171,0.100221,0,32.15,0.81,0.78,low,6.78,4.94,
8182022,August,evening,n,15,August_O3,50,O2: 3 PM,2.127041,0.132973,0.000786,0.105548,0,33.1,0.81,0.78,low,6.78,4.94,
8182022,August,evening,n,15,August_O3,51,O3: 3 PM,2.701311,0.341589,0.002892,0.106983,0,24.65,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,16,August_O4,55,O1: 4 PM,3.679103,0.298621,0.006618,0.183816,0,29.1,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,16,August_O4,56,O2: 4 PM,2.044049,0.252071,0.001009,0.129378,0,30.8,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,16,August_O4,57,O3: 4 PM,2.766685,0.548297,0.001634,0.388361,0,22,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,17,August_O5,61,O1: 5 PM,2.722058,0.435477,0.007234,0.147507,0,29.45,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,17,August_O5,62,O2: 5 PM,3.226767,0.325481,0.001767,0.099428,0,31.2,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,17,August_O5,63,O3: 5 PM,3.918301,0.438226,0.001929,0.093758,0,23.6,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,18,August_O6,67,O1: 6 PM,3.440608,0.313243,0.011997,0.263181,0,28.5,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,18,August_O6,68,O2: 6 PM,4.161976,0.359308,0.002291,0.130457,0,28.4,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,18,August_O6,69,O3: 6 PM,3.67375,0.436574,0.005443,0.217759,0,20,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,19,August_O7P,73,O1: 7 PM,3.765001,0.46274,0.006861,0.174211,0,25.25,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,19,August_O7P,74,O2: 7 PM,3.303543,0.30639,0.006142,0.312444,0,23.15,0.81,0.79,low,6.78,4.94,
8182022,August,evening,n,19,August_O7P,75,O3: 7 PM,4.91077,0.463096,0.004864,0.144587,0,21.1,0.81,0.79,low,6.78,4.94,
