mil_time,variable,value
7,Tower,NA
7,Tower,NA
7,Tower,NA
7,Tower,NA
7,Tower,NA
7,Tower,NA
7,Tower,0.12176176
7,Tower,0.168943556
7,Tower,0.204122241
7,Tower,NA
7,Tower,NA
7,Tower,0.001478148
7,Tower,NA
7,Tower,0.085283748
8,Tower,0.103846442
8,Tower,0.174429862
8,Tower,NA
8,Tower,NA
8,Tower,0.144262389
8,Tower,0.193431896
8,Tower,0.164324698
8,Tower,0.110520328
8,Tower,0.288947481
8,Tower,0.201039197
8,Tower,0.162637677
8,Tower,0.118144227
8,Tower,NA
8,Tower,0.141438398
9,Tower,0.103651426
9,Tower,NA
9,Tower,0.263758775
9,Tower,0.117260214
9,Tower,0.112803181
9,Tower,0.161888432
9,Tower,0.17099023
9,Tower,0.135169949
9,Tower,0.269396603
9,Tower,0.196678951
9,Tower,0.098920424
9,Tower,0.166464897
9,Tower,0.16567489
9,Tower,0.132082938
10,Tower,0.125696733
10,Tower,0.232820684
10,Tower,0.169850259
10,Tower,0.193047899
10,Tower,NA
10,Tower,0.176704029
10,Tower,0.204208468
10,Tower,0.148712239
10,Tower,0.347734195
10,Tower,0.238442864
10,Tower,0.202419178
10,Tower,NA
10,Tower,0.230347839
10,Tower,0.1774679
11,Tower,0.16321333
11,Tower,0.245200002
11,Tower,0.407530859
11,Tower,0.237653856
11,Tower,NA
11,Tower,0.177462906
11,Tower,0.179318087
11,Tower,0.118070891
11,Tower,0.189630822
11,Tower,0.25338287
11,Tower,0.13772311
11,Tower,NA
11,Tower,NA
11,Tower,0.229815557
12,Tower,0.154579706
12,Tower,0.240994797
12,Tower,0.325117427
12,Tower,0.126721371
12,Tower,0.208686132
12,Tower,0.209805663
12,Tower,0.180007228
12,Tower,0.134611178
12,Tower,0.226357277
12,Tower,0.350020864
12,Tower,0.169274778
12,Tower,0.185977701
12,Tower,NA
12,Tower,0.192025581
13,Tower,0.162362973
13,Tower,0.190750866
13,Tower,0.390047957
13,Tower,0.127849129
13,Tower,0.174111376
13,Tower,NA
13,Tower,0.219809156
13,Tower,0.161870358
13,Tower,0.254476236
13,Tower,0.293195639
13,Tower,0.210176222
13,Tower,0.227206412
13,Tower,NA
13,Tower,0.183966481
14,Tower,0.16692014
14,Tower,0.333741285
14,Tower,0.326140934
14,Tower,0.172968074
14,Tower,0.254397672
14,Tower,NA
14,Tower,0.258935006
14,Tower,0.167050918
14,Tower,0.154174431
14,Tower,0.299606356
14,Tower,0.180837712
14,Tower,0.173326506
14,Tower,0.294143229
14,Tower,0.237178038
15,Tower,0.143606366
15,Tower,0.320929031
15,Tower,0.295158265
15,Tower,0.177536856
15,Tower,0.158386828
15,Tower,0.204866144
15,Tower,0.276795264
15,Tower,0.129413799
15,Tower,0.375154817
15,Tower,0.285300963
15,Tower,0.220059929
15,Tower,0.186767973
15,Tower,NA
15,Tower,0.253951798
16,Tower,0.198161794
16,Tower,0.311209491
16,Tower,0.339149464
16,Tower,0.212996079
16,Tower,0.18506087
16,Tower,NA
16,Tower,0.198755248
16,Tower,0.168045668
16,Tower,0.429434229
16,Tower,0.363755936
16,Tower,NA
16,Tower,0.168000141
16,Tower,NA
16,Tower,0.20706004
17,Tower,0.183976451
17,Tower,NA
17,Tower,0.373236621
17,Tower,0.137319743
17,Tower,0.19715265
17,Tower,NA
17,Tower,0.266063632
17,Tower,0.293718433
17,Tower,0.434811734
17,Tower,0.294367302
17,Tower,0.17749174
17,Tower,0.184312489
17,Tower,0.236627876
17,Tower,0.227608048
18,Tower,0.273326311
18,Tower,NA
18,Tower,0.254110861
18,Tower,0.231971919
18,Tower,0.161441442
18,Tower,0.157490697
18,Tower,0.291235039
18,Tower,0.330272454
18,Tower,NA
18,Tower,0.283958662
18,Tower,0.17176901
18,Tower,0.142993206
18,Tower,0.168807711
18,Tower,0.221546976
19,Tower,0.216494965
19,Tower,0.36362431
19,Tower,0.294566882
19,Tower,0.288655255
19,Tower,0.102126595
19,Tower,0.342484918
19,Tower,0.314996751
19,Tower,NA
19,Tower,NA
19,Tower,0.310793126
19,Tower,0.166929773
19,Tower,0.265168175
19,Tower,0.223325767
19,Tower,0.267042324
