mil_time,variable,value
7,Tower,-0.107133885
7,Tower,-0.294080654
7,Tower,25.6642101
7,Tower,2.125522376
7,Tower,1.039754315
7,Tower,3.735098334
7,Tower,0.152085719
7,Tower,2.64095338
7,Tower,-3.635192078
7,Tower,68.66045657
7,Tower,2.709381585
7,Tower,-26.43735827
7,Tower,7.400248663
7,Tower,-0.413459529
8,Tower,-1.602801912
8,Tower,0.088947007
8,Tower,0.019350791
8,Tower,-0.832230981
8,Tower,-2.923840755
8,Tower,-1.871294409
8,Tower,-4.533904461
8,Tower,-8.868261531
8,Tower,-1.621377952
8,Tower,75.32861647
8,Tower,-4.018882242
8,Tower,-4.534712382
8,Tower,-2.100147374
8,Tower,-6.050161667
9,Tower,-8.626275501
9,Tower,-2.223874405
9,Tower,-3.143572163
9,Tower,8.190120277
9,Tower,-8.397807311
9,Tower,-13.14164617
9,Tower,-7.472494722
9,Tower,-6.670330382
9,Tower,-3.916611502
9,Tower,4.342422344
9,Tower,-7.26458625
9,Tower,-8.65594165
9,Tower,-4.674744959
9,Tower,-6.680780223
10,Tower,-7.777877703
10,Tower,-6.644566678
10,Tower,2.451098131
10,Tower,-7.593885504
10,Tower,NA
10,Tower,-5.853792316
10,Tower,-8.923458543
10,Tower,-5.873128307
10,Tower,-5.99629964
10,Tower,-5.118812366
10,Tower,-6.049615773
10,Tower,NA
10,Tower,-8.227076606
10,Tower,-8.498947945
11,Tower,-9.591572075
11,Tower,-5.742155928
11,Tower,-9.684410599
11,Tower,-14.36263805
11,Tower,NA
11,Tower,-4.871507331
11,Tower,-7.465954819
11,Tower,-4.437164029
11,Tower,-1.706523078
11,Tower,-3.744063709
11,Tower,-5.590760446
11,Tower,NA
11,Tower,-4.085097843
11,Tower,-11.70617864
12,Tower,-5.316620505
12,Tower,-3.782039476
12,Tower,-5.54505586
12,Tower,-7.771679158
12,Tower,-8.089057834
12,Tower,-3.665909335
12,Tower,-8.999000073
12,Tower,-4.438260258
12,Tower,-6.255701727
12,Tower,-6.653750465
12,Tower,-6.763293427
12,Tower,-8.651252953
12,Tower,-2.000116495
12,Tower,-8.682705351
13,Tower,-4.912930138
13,Tower,-2.653512495
13,Tower,-9.022845141
13,Tower,-5.843007016
13,Tower,-7.039763452
13,Tower,-5.66502194
13,Tower,-9.372682104
13,Tower,-5.411655824
13,Tower,-3.287594816
13,Tower,-6.101478719
13,Tower,-4.239805864
13,Tower,-10.78199363
13,Tower,-5.066482542
13,Tower,-9.44896144
14,Tower,-6.595355284
14,Tower,-6.969124491
14,Tower,-6.735466156
14,Tower,-4.960769623
14,Tower,-12.01167018
14,Tower,-5.094448485
14,Tower,-9.433920202
14,Tower,-14.63061781
14,Tower,-2.602745562
14,Tower,-4.29949517
14,Tower,-5.877795108
14,Tower,-8.367276364
14,Tower,-7.582095797
14,Tower,-8.805084905
15,Tower,-4.862368932
15,Tower,-3.182235229
15,Tower,-3.850329502
15,Tower,-4.610895261
15,Tower,-7.674083437
15,Tower,-6.023252274
15,Tower,-9.648469243
15,Tower,-5.062238915
15,Tower,-3.518409009
15,Tower,-5.475171233
15,Tower,-6.998306305
15,Tower,-8.938807643
15,Tower,-7.784368098
15,Tower,-9.403640158
16,Tower,-6.973547078
16,Tower,-3.162328012
16,Tower,-5.693614945
16,Tower,-8.238919806
16,Tower,-8.122141582
16,Tower,-2.571039713
16,Tower,-8.409166076
16,Tower,-5.065713664
16,Tower,-6.028028158
16,Tower,-5.160218269
16,Tower,-6.094319454
16,Tower,-7.205128989
16,Tower,-6.097110239
16,Tower,-8.046615001
17,Tower,-5.553716212
17,Tower,-4.870268975
17,Tower,-4.876505336
17,Tower,-7.178057145
17,Tower,-7.654245633
17,Tower,-3.802015051
17,Tower,-10.483372
17,Tower,-6.535852103
17,Tower,-1.687387614
17,Tower,-3.147425911
17,Tower,0.809702329
17,Tower,-6.903450391
17,Tower,-2.696579881
17,Tower,-8.75000424
18,Tower,-7.110479254
18,Tower,-0.044662126
18,Tower,-2.492414046
18,Tower,-6.097161639
18,Tower,-3.31867237
18,Tower,-2.978975563
18,Tower,-7.110818279
18,Tower,-4.777757052
18,Tower,-1.341608215
18,Tower,-3.452295681
18,Tower,-4.365520867
18,Tower,-2.967387925
18,Tower,-2.374847383
18,Tower,-5.008427422
19,Tower,-3.348736533
19,Tower,-0.308446319
19,Tower,-1.514661879
19,Tower,-4.723816992
19,Tower,-1.525101372
19,Tower,-3.455713721
19,Tower,-5.584553333
19,Tower,-4.462662904
19,Tower,0.430568735
19,Tower,-0.63431813
19,Tower,-1.990810516
19,Tower,-3.249201867
19,Tower,-1.750456392
19,Tower,-3.222760112
