"","Hour","CO2","CH4"
"1",7,2.60566418598927,0.165245708616295
"2",8,-4.88115161553045,0.164477304741497
"3",9,-6.17553027080875,0.203954357303964
"4",10,-6.91566887860392,0.210607933340829
"5",11,-6.18674592255083,0.20621193378686
"6",12,-6.34626679421978,0.210546960203616
"7",13,-7.42613322444905,0.234876197103963
"8",14,-6.21661251704403,0.236880591825002
"9",15,-6.20484935619224,0.264774292159238
"10",16,-5.2377984404708,0.253132812631996
"11",17,-3.81721627294003,0.241629821227282
"12",18,-2.52433366689547,0.279382298450186
"13",19,-0.544824881143563,0.27309085384467
