Date,Month,Interval,Veg,mil_time,Name,chamber,Site,CO2_Flux,CO2_NRMSE,CH4_Flux,CH4_NRMSE,Bubble_Flux,Temp,Depth,cdepth,level,presens1,presens6,Notes
7062022,July,morning,n,7,July_O7A,1,O1: 7 AM,0.791021,0.21654,0.220238,11.605494,0.216695,22.9,1.15,1.15,high,2.43,0.02,
7062022,July,morning,n,8,July_O8,8,O1: 8 AM,0.787955,0.272859,0.013638,0.162233,0,23.5,1.16,1.14,high,2.43,0.02,
7062022,July,morning,n,9,July_O9,14,O1: 9 AM,0.915069,0.188345,0.0245,0.457778,0,24.05,1.15,1.13,high,2.43,0.02,
7062022,July,morning,n,10,July_O10,20,O1: 10 AM,0.720626,0.179717,0.013727,0.138316,0,24.3,1.16,1.15,high,2.43,0.02,
7062022,July,morning,n,10,July_O10,21,O2: 10 AM,0.004526,2.538295,-0.161421,2.387998,0.34489,24.35,1.16,1.15,high,2.43,0.02,
7062022,July,morning,n,10,July_O10,22,O3: 10 AM,-0.00905,1.035026,0.014107,1.59321,0.249776,23,1.17,1.16,high,2.43,0.02,
7062022,July,afternoon,n,11,July_O11,26,O1: 11 AM,0.712494,0.103608,0.024636,0.194762,0,23.6,1.17,1.16,high,2.43,0.02,
7062022,July,afternoon,n,11,July_O11,27,O2: 11 AM,0.555443,0.187719,0.089375,0.358294,0,24,1.17,1.16,high,2.43,0.02,
7062022,July,afternoon,n,11,July_O11,28,O3: 11 AM,0.095696,0.205311,0.282824,1.214406,0,24.55,1.18,1.17,high,2.43,0.02,
7062022,July,afternoon,n,12,July_O12,32,O1: 12 PM,0.653008,0.175775,0.021175,0.164497,0,25.65,1.19,1.18,high,2.43,0.02,
7062022,July,afternoon,n,12,July_O12,34,O3: 12 PM,-0.910083,0.245252,0.152274,1.938534,0.320183,24.95,1.19,1.18,high,2.43,0.02,
7062022,July,afternoon,n,13,July_O1,38,O1: 1 PM,0.523753,0.404832,0.014422,0.192367,0,25.1,1.2,1.18,high,2.43,0.02,
7062022,July,afternoon,n,13,July_O1,40,O3: 1 PM,-0.456589,0.207807,0.04292,0.349882,0,24.1,1.2,1.18,high,2.43,0.02,
7062022,July,afternoon,n,14,July_O2,44,O1: 2 PM,0.54263,0.377388,0.018916,0.240651,0,24.3,1.2,1.19,high,2.43,0.02,
7062022,July,afternoon,n,14,July_O2,45,O2: 2 PM,0.474523,0.217865,0.020005,0.258467,0,24.3,1.2,1.19,high,2.43,0.02,
7062022,July,afternoon,n,14,July_O2,46,O3: 2 PM,-0.296459,0.297588,0.033657,0.287934,0,24.15,1.2,1.18,high,2.43,0.02,
7062022,July,evening,n,15,July_O3,50,O1: 3 PM,0.870259,0.566946,0.018931,0.381781,0,24.9,1.21,1.2,high,2.43,0.02,
7062022,July,evening,n,15,July_O3,51,O2: 3 PM,0.549002,0.278811,0.191101,2.597202,-0.044359,24.95,1.21,1.2,high,2.43,0.02,
7062022,July,evening,n,15,July_O3,52,O3: 3 PM,-0.542762,0.27171,0.056478,0.303129,0,25.9,1.21,1.2,high,2.43,0.02,
7062022,July,evening,n,16,July_O4,56,O1: 4 PM,0.572167,0.18091,0.019087,0.191976,0,25.75,1.22,1.2,high,2.43,0.02,
7062022,July,evening,n,16,July_O4,57,O2: 4 PM,0.456803,0.190814,0.586517,3.40021,0,25.7,1.23,1.21,high,2.43,0.02,
7062022,July,evening,n,17,July_O5,62,O1: 5 PM,0.70606,0.09656,0.034248,0.745155,0,24,1.23,1.21,high,2.43,0.02,
7062022,July,evening,n,17,July_O5,63,O2: 5 PM,0.61544,0.19263,0.486198,4.680628,0,23.35,1.23,1.21,high,2.43,0.02,
7062022,July,evening,n,17,July_O5,64,O3: 5 PM,-0.149034,0.180195,1.230415,4.047803,0.333754,23.55,1.23,1.21,high,2.43,0.02,
7062022,July,evening,n,18,July_O6,68,O1: 6 PM,0.795456,0.451559,0.676628,10.142617,0.637563,25.5,1.23,1.21,high,2.43,0.02,
7062022,July,evening,n,18,July_O6,69,O2: 6 PM,0.55872,0.079622,0.012634,0.157174,0,24.45,1.23,1.21,high,2.43,0.02,
7062022,July,evening,n,18,July_O6,70,O3: 6 PM,0.040992,0.172035,1.181912,5.111281,0.232035,23.55,1.23,1.21,high,2.43,0.02,
7062022,July,evening,n,19,July_O7P,74,O1: 7 PM,0.918011,0.173397,0.031295,0.340916,0,23.5,1.24,1.22,high,2.43,0.02,
7062022,July,evening,n,19,July_O7P,75,O2: 7 PM,0.703064,0.090518,0.00709,0.52984,0,24.2,1.24,1.22,high,2.43,0.02,
7062022,July,evening,n,19,July_O7P,76,O3: 7 PM,-0.030089,0.113641,0.044466,7.022897,0.09296,23.5,1.24,1.22,high,2.43,0.02,
7062022,July,morning,n,7,July_O7A,7,O4: 7 AM,0.880901,2.19808,0.003659,0.404571,-0.21967,23.3,1.15,1.14,high,2.43,0.02,
7062022,July,morning,n,9,July_O9,15,O2: 9 AM,0.510812,1.50506,1.686814,3.903289,0.752107,24.15,1.15,1.13,high,2.43,0.02,
7062022,July,afternoon,n,12,July_O12,33,O2: 12 PM,1.2567,3.328695,0.684812,4.250593,0.600282,24.6,1.19,1.18,high,2.43,0.02,
