Date,Month,Interval,Veg,mil_time,Name,chamber,Site,CO2_Flux,CO2_NRMSE,CH4_Flux,CH4_NRMSE,Bubble_Flux,Temp,Depth,cdepth,level,presens1,presens6,Notes
7062022,July,morning,y,7,July_V7A,6,V3: 7 AM,0.865402,4.383985,0.001373,0.003542,22.681854,23.4,1.15,1.14,high,2.43,0.02,
7062022,July,morning,y,8,July_V8,12,V2: 8 AM,-0.565326,7.148886,1.115563,0.27169,2.719717,25.1,1.16,1.14,high,2.43,0.02,
7062022,July,morning,y,9,July_V9,17,V1: 9 AM,-2.065253,0.914881,3.468978,9.830094,1.451084,24.3,1.15,1.13,high,2.43,0.02,
7062022,July,morning,y,9,July_V9,18,V2: 9 AM,-0.809895,3.880776,0.489455,4.744719,8.033384,24.15,1.15,1.13,high,2.43,0.02,
7062022,July,morning,y,10,July_V10,24,V2: 10 AM,-5.139391,6.641552,0.214828,0.720056,2.13755,23.55,1.17,1.16,high,2.43,0.02,
7062022,July,morning,y,10,July_V10,25,V3: 10 AM,-2.20439,3.823719,0.01754,0.303111,1.59289,22.9,1.17,1.16,high,2.43,0.02,
7062022,July,afternoon,y,11,July_V11,29,V1: 11 AM,-4.383961,1.786566,0.161028,4.699401,3.040799,24.9,1.17,1.16,high,2.43,0.02,
7062022,July,afternoon,y,11,July_V11,30,V2: 11 AM,-6.053032,4.343488,0.927701,7.248813,2.498737,26,1.18,1.17,high,2.43,0.02,
7062022,July,afternoon,y,12,July_V12,36,V2: 12 PM,-5.333964,0.215322,0.71236,0.836312,0,25.15,1.19,1.18,high,2.43,0.02,
7062022,July,afternoon,y,12,July_V12,37,V3: 12 PM,-5.402886,0.464624,0.367287,10.222924,0,25.25,1.19,1.18,high,2.43,0.02,
7062022,July,afternoon,y,13,July_V1,41,V1: 1 PM,-4.138915,0.564516,0.695058,4.490467,0.893356,24.9,1.2,1.18,high,2.43,0.02,
7062022,July,afternoon,y,13,July_V1,42,V2: 1 PM,-3.251444,0.531987,0.629353,5.269718,0.756928,24.8,1.2,1.18,high,2.43,0.02,
7062022,July,afternoon,y,13,July_V1,43,V3: 1 PM,-4.208723,0.514351,0.565574,18.390614,0.91686,24.7,1.2,1.18,high,2.43,0.02,
7062022,July,afternoon,y,14,July_V2,47,V1: 2 PM,-3.306782,0.72727,0.298035,4.955711,1.038519,24.25,1.2,1.19,high,2.43,0.02,
7062022,July,afternoon,y,14,July_V2,48,V2: 2 PM,-4.132747,0.483124,0.734988,1.764836,0.045853,25.05,1.2,1.19,high,2.43,0.02,
7062022,July,afternoon,y,14,July_V2,49,V3: 2 PM,-3.602032,0.231774,0.9333,3.468012,0,25.4,1.2,1.19,high,2.43,0.02,
7062022,July,evening,y,15,July_V3,53,V1: 3 PM,-6.127363,0.641097,0.719354,5.318971,0.31289,25.96,1.21,1.2,high,2.43,0.02,
7062022,July,evening,y,15,July_V3,54,V2: 3 PM,-4.386192,0.449927,0.576316,1.548993,0,26.85,1.21,1.2,high,2.43,0.02,
7062022,July,evening,y,15,July_V3,55,V3: 3 PM,-6.744732,0.347647,0.462777,8.163374,0,25.95,1.21,1.2,high,2.43,0.02,
7062022,July,evening,y,16,July_V4,59,V1: 4 PM,-5.030729,0.747041,0.555951,3.1495,0.322769,24.4,1.23,1.21,high,2.43,0.02,
7062022,July,evening,y,16,July_V4,60,V2: 4 PM,-3.362285,0.517241,0.455333,6.926596,0.840619,24.55,1.23,1.21,high,2.43,0.02,
7062022,July,evening,y,16,July_V4,61,V3: 4 PM,-3.730855,0.142332,0.285667,3.397404,0,24.95,1.23,1.21,high,2.43,0.02,
7062022,July,evening,y,17,July_V5,65,V1: 5 PM,-0.66197,0.287689,0.610256,7.277318,-0.062548,23.55,1.23,1.21,high,2.43,0.02,
7062022,July,evening,y,17,July_V5,66,V2: 5 PM,-1.036102,0.242082,0.305732,11.975067,0.226954,23.9,1.23,1.21,high,2.43,0.02,
7062022,July,evening,y,17,July_V5,67,V3: 5 PM,-0.378656,0.262014,0.399479,0.486599,0,23.2,1.23,1.21,high,2.43,0.02,
7062022,July,evening,y,18,July_V6,71,V1: 6 PM,-1.803339,0.310105,0.343214,9.516847,0.06802,23.4,1.23,1.21,high,2.43,0.02,
7062022,July,evening,y,18,July_V6,72,V2: 6 PM,-0.775586,0.992684,0.215894,18.813941,1.459565,24.2,1.23,1.21,high,2.43,0.02,
7062022,July,evening,y,18,July_V6,73,V3: 6 PM,-0.91059,0.197202,0.369053,1.629379,0.06332,23.8,1.23,1.21,high,2.43,0.02,
7062022,July,evening,y,19,July_V7P,77,V1: 7 PM,-2.761965,0.829484,0.224983,6.921028,1.082542,24.6,1.24,1.22,high,2.43,0.02,
7062022,July,evening,y,19,July_V7P,78,V2: 7 PM,0.218019,0.468894,0.108547,6.156384,1.289168,24.55,1.24,1.22,high,2.43,0.02,OK; CH4 a little high (4-7ppm)
7062022,July,evening,y,19,July_V7P,79,V3: 7 PM,-1.444625,0.177,0.298288,1.621939,0,22.25,1.24,1.22,high,2.43,0.02,good
