Date,Month,Interval,Veg,mil_time,Name,chamber,Site,CO2_Flux,CO2_NRMSE,CH4_Flux,CH4_NRMSE,Bubble_Flux,Temp,Depth,cdepth,level,presens1,presens6,Notes
6022022,June,morning,n,7,June_O7A,1,O1_7AM,1.15905,0.107249,0.047471588,0.273651,-138.465749,19.75,1.46,1.48,medium,,,
6022022,June,morning,n,7,June_O7A,2,O2_7AM,1.310669,0.119225,0.083999381,0.178916,-13.475736,21,1.46,1.48,medium,,,
6022022,June,morning,n,7,June_O7A,3,O3_7AM,1.161453,0.175072,0.01582724,0.047641,0,20.8,1.46,1.48,medium,,,
6022022,June,morning,n,8,June_O8,8,O2_8AM,1.082643,0.13472,0.013371256,0.022629,0,18.9,1.46,1.48,medium,,,
6022022,June,morning,n,8,June_O8,9,O3_8AM,1.319965,0.143075,0.015794671,0.016923,0,20.65,1.46,1.48,medium,,,
6022022,June,morning,n,9,June_O9,13,O1_9AM,1.657729,0.245916,0.028856681,1.064848,-136.842085,18.8,1.46,1.48,medium,,,
6022022,June,morning,n,9,June_O9,14,O2_9AM,1.261002,0.153362,0.014910123,0.073111,0,20.15,1.46,1.48,medium,,,
6022022,June,morning,n,9,June_O9,15,O3_9AM,1.112184,0.132747,0.013126338,0.039303,0,20.75,1.46,1.48,medium,,,
6022022,June,morning,n,10,June_O10,19,O1_10AM,1.278072,0.122319,0.013485747,0.042263,0,19.35,1.46,1.48,medium,,,
6022022,June,morning,n,10,June_O10,20,O2_10AM,1.393024,0.155389,0.016840108,0.101796,0,19.85,1.47,1.49,medium,,,
6022022,June,morning,n,10,June_O10,21,O3_10AM,1.189876,0.138336,0.01539671,0.031562,0,20.3,1.47,1.49,medium,,,
6022022,June,afternoon,n,11,June_O11,25,O1_11AM,1.193615,0.106061,0.017830939,0.049004,0,19.45,1.47,1.48,medium,,,
6022022,June,afternoon,n,11,June_O11,26,O2_11AM,1.076236,0.118785,0.01697428,0.069679,0,20.35,1.47,1.48,medium,,,
6022022,June,afternoon,n,11,June_O11,27,O3_11AM,1.134069,0.096434,0.016137279,0.086605,0,21.2,1.47,1.48,medium,,,
6022022,June,afternoon,n,12,June_O12,31,O1_12AM,1.954736,0.214613,0.031185166,0.480127,0,18.8,1.47,1.48,medium,,,
6022022,June,afternoon,n,12,June_O12,32,O2_12AM,1.044621,0.125565,0.039603789,0.115158,99.632453,19.75,1.47,1.48,medium,,,
6022022,June,afternoon,n,12,June_O12,33,O3_12AM,0.925958,0.124621,0.012040221,0.106944,6.034335,19.9,1.47,1.48,medium,,,
6022022,June,afternoon,n,13,June_O1,37,O1_1PM,1.531273,0.309081,0.03646845,0.35117,0,20,1.47,1.48,medium,,,
6022022,June,afternoon,n,13,June_O1,38,O2_1PM,1.22492,0.150717,0.022689542,0.123812,0,20.2,1.47,1.48,medium,,,
6022022,June,afternoon,n,13,June_O1,39,O3_1PM,0.807057,0.138145,0.01634061,0.061857,0,20.45,1.47,1.48,medium,,,
6022022,June,afternoon,n,14,June_O2,43,O1_2PM,0.922028,0.129863,0.017307628,0.07278,0,18.85,1.47,1.48,medium,,,
6022022,June,afternoon,n,14,June_O2,44,O2_2PM,1.305875,0.274508,0.0319386,0.323005,14.660581,19.2,1.47,1.48,medium,,,
6022022,June,afternoon,n,14,June_O2,45,O3_2PM,0.705021,0.113914,0.016279701,0.051697,0,19.75,1.47,1.48,medium,,,
6022022,June,evening,n,15,June_O3,49,O1_3PM,3.14859,0.433947,0.091787456,0.856027,0,19.75,1.47,1.49,medium,,,
6022022,June,evening,n,15,June_O3,50,O2_3PM,1.013152,0.13602,0.025204284,0.110189,0,19.9,1.47,1.49,medium,,,
6022022,June,evening,n,15,June_O3,51,O3_3PM,0.508974,0.094735,0.013847115,0.029067,0,19.9,1.47,1.49,medium,,,
