mil_time,variable,value
7,Tower,0.050093494
7,Tower,NA
7,Tower,0.053262
7,Tower,0.10771287
7,Tower,0.13241483
7,Tower,0.066296703
7,Tower,0.039813952
7,Tower,0.057622972
7,Tower,NA
7,Tower,0.085126938
7,Tower,0.105128501
7,Tower,0.005629024
7,Tower,0.075253138
7,Tower,0.062082429
8,Tower,0.081174304
8,Tower,NA
8,Tower,0.078709085
8,Tower,0.146676334
8,Tower,0.02871991
8,Tower,0.06562658
8,Tower,0.052323161
8,Tower,0.069061593
8,Tower,0.068348001
8,Tower,0.02457733
8,Tower,0.120066099
8,Tower,0.127289834
8,Tower,NA
8,Tower,0.057050255
9,Tower,0.094132838
9,Tower,0.073326503
9,Tower,0.11383933
9,Tower,0.081739035
9,Tower,0.098081239
9,Tower,0.113658213
9,Tower,NA
9,Tower,0.095224258
9,Tower,0.05869111
9,Tower,0.1399517
9,Tower,0.162399982
9,Tower,0.112349065
9,Tower,NA
9,Tower,0.093482716
10,Tower,0.112688937
10,Tower,0.09375647
10,Tower,0.043947231
10,Tower,0.097782837
10,Tower,0.090806874
10,Tower,0.102859591
10,Tower,0.079006096
10,Tower,0.103221418
10,Tower,0.076162259
10,Tower,0.197829307
10,Tower,0.116338053
10,Tower,0.149532719
10,Tower,0.103598164
10,Tower,0.086639399
11,Tower,0.089230238
11,Tower,0.042435731
11,Tower,0.166581148
11,Tower,0.114755596
11,Tower,0.118712796
11,Tower,0.093760894
11,Tower,0.09442202
11,Tower,0.094359551
11,Tower,0.070327242
11,Tower,0.190529946
11,Tower,0.115152007
11,Tower,0.114505477
11,Tower,0.129117006
11,Tower,0.084082715
12,Tower,0.102568617
12,Tower,0.032379964
12,Tower,0.1662064
12,Tower,0.06258611
12,Tower,0.09672444
12,Tower,0.089472751
12,Tower,0.057942085
12,Tower,0.073041287
12,Tower,0.063446407
12,Tower,0.16647195
12,Tower,0.100332826
12,Tower,0.109497011
12,Tower,0.105413758
12,Tower,0.075286023
13,Tower,0.112606331
13,Tower,0.074620659
13,Tower,0.222395662
13,Tower,0.133701525
13,Tower,0.091616368
13,Tower,0.112924623
13,Tower,0.069075329
13,Tower,0.115023825
13,Tower,0.100862146
13,Tower,0.216933807
13,Tower,0.083993052
13,Tower,0.10682445
13,Tower,0.105515489
13,Tower,0.069574835
14,Tower,0.08670249
14,Tower,0.082459163
14,Tower,0.061745872
14,Tower,0.126481582
14,Tower,0.094359302
14,Tower,0.078367844
14,Tower,0.049885574
14,Tower,0.084972486
14,Tower,0.102578036
14,Tower,0.037110813
14,Tower,0.18827309
14,Tower,0.106056782
14,Tower,0.090093677
14,Tower,0.044570854
15,Tower,0.072958177
15,Tower,0.064352418
15,Tower,0.097698035
15,Tower,0.159633841
15,Tower,0.070094309
15,Tower,0.083777492
15,Tower,0.064140123
15,Tower,0.051978037
15,Tower,0.070383139
15,Tower,0.090202627
15,Tower,0.166573835
15,Tower,0.10007718
15,Tower,0.117105696
15,Tower,0.065416411
16,Tower,0.041360744
16,Tower,0.046353818
16,Tower,0.080699171
16,Tower,0.14463993
16,Tower,0.072227816
16,Tower,0.089084816
16,Tower,0.072258533
16,Tower,0.053723807
16,Tower,0.0789021
16,Tower,0.170031938
16,Tower,0.096155357
16,Tower,0.086039195
16,Tower,0.087331296
16,Tower,0.07324882
17,Tower,0.0582849
17,Tower,0.01912585
17,Tower,0.129601634
17,Tower,0.175414695
17,Tower,0.076671153
17,Tower,0.105533979
17,Tower,0.044613032
17,Tower,0.03768563
17,Tower,0.10011504
17,Tower,0.121189492
17,Tower,0.156468653
17,Tower,0.077998696
17,Tower,0.086845816
17,Tower,0.070521056
18,Tower,0.007238465
18,Tower,0.058190965
18,Tower,0.05978647
18,Tower,0.08883327
18,Tower,0.074965585
18,Tower,0.082580483
18,Tower,NA
18,Tower,NA
18,Tower,0.03607755
18,Tower,NA
18,Tower,0.127345192
18,Tower,0.081525183
18,Tower,0.066979767
18,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,0.040490389
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
