mil_time,variable,value
7,Tower,0.837972805
7,Tower,1.284093898
7,Tower,1.191607644
7,Tower,2.185412989
7,Tower,0.187608103
7,Tower,0.781004074
7,Tower,1.574634896
7,Tower,0.173214247
7,Tower,0.234866863
7,Tower,0.98302284
7,Tower,1.7589128
7,Tower,1.003215123
7,Tower,2.648173322
7,Tower,1.19039919
8,Tower,-0.131892181
8,Tower,0.651975729
8,Tower,1.444736806
8,Tower,2.024160551
8,Tower,0.691662588
8,Tower,2.645776527
8,Tower,0.999289967
8,Tower,-0.407360834
8,Tower,-0.076616719
8,Tower,0.131455556
8,Tower,0.830285311
8,Tower,-0.200575172
8,Tower,0.822249649
8,Tower,0.762835154
9,Tower,-1.477788713
9,Tower,-0.708534466
9,Tower,-0.557648101
9,Tower,0.136937409
9,Tower,-1.151705224
9,Tower,-0.976540974
9,Tower,0.080856515
9,Tower,-1.03038805
9,Tower,-1.107975583
9,Tower,-3.847173258
9,Tower,0.823281279
9,Tower,1.016478725
9,Tower,-3.61075014
9,Tower,-0.007099156
10,Tower,-1.878532674
10,Tower,-1.984451678
10,Tower,-2.622474761
10,Tower,-0.794838978
10,Tower,-1.795053232
10,Tower,-2.250812951
10,Tower,-0.69202579
10,Tower,-2.010710959
10,Tower,-1.534022403
10,Tower,-3.778022646
10,Tower,-1.739124889
10,Tower,-1.597427688
10,Tower,-3.441743038
10,Tower,-0.765957448
11,Tower,-2.128026575
11,Tower,-1.696304908
11,Tower,-2.367805785
11,Tower,-2.158517065
11,Tower,-0.296637626
11,Tower,-2.496497594
11,Tower,-1.897503654
11,Tower,-2.024632425
11,Tower,-3.598226848
11,Tower,-2.390834302
11,Tower,-1.909361766
11,Tower,-2.849788228
11,Tower,-2.061561596
11,Tower,-0.516761112
12,Tower,-1.914287084
12,Tower,-3.786282662
12,Tower,-3.427151987
12,Tower,-2.169111623
12,Tower,-0.791766357
12,Tower,-3.298021696
12,Tower,-1.02609495
12,Tower,-1.851166055
12,Tower,-2.879246552
12,Tower,-3.297673237
12,Tower,-0.926410408
12,Tower,-1.130078564
12,Tower,-8.227544372
12,Tower,-0.15577295
13,Tower,-1.845596939
13,Tower,-5.181066191
13,Tower,-2.634040745
13,Tower,-2.176362032
13,Tower,-1.336058155
13,Tower,-2.670632382
13,Tower,-0.291078448
13,Tower,-1.094969245
13,Tower,-5.250672284
13,Tower,-2.510057558
13,Tower,-2.539887551
13,Tower,-0.540908804
13,Tower,-0.609908856
13,Tower,-0.394219033
14,Tower,-1.755334026
14,Tower,-3.571511202
14,Tower,-2.345242311
14,Tower,-2.550201218
14,Tower,-1.647665908
14,Tower,0.31491388
14,Tower,-0.452582508
14,Tower,1.300848524
14,Tower,84.29720954
14,Tower,-2.261753945
14,Tower,-3.568000627
14,Tower,-0.090402121
14,Tower,-1.180636458
14,Tower,0.236636677
15,Tower,-1.630558101
15,Tower,-4.606683255
15,Tower,-2.867191031
15,Tower,-1.66468006
15,Tower,0.174900905
15,Tower,-0.054639573
15,Tower,-0.960820138
15,Tower,-0.772972652
15,Tower,-4.531588072
15,Tower,-2.811792257
15,Tower,-0.609368563
15,Tower,-0.343433401
15,Tower,-0.933899395
15,Tower,-0.782338942
16,Tower,-1.635034211
16,Tower,-3.181137581
16,Tower,-1.023364256
16,Tower,1.177441167
16,Tower,3.296826048
16,Tower,2.028998932
16,Tower,-0.10991135
16,Tower,-1.260640681
16,Tower,-4.797960793
16,Tower,-1.389770967
16,Tower,1.046517799
16,Tower,0.097968453
16,Tower,-0.33394776
16,Tower,0.14507828
17,Tower,-1.235453001
17,Tower,-7.050962105
17,Tower,-0.48542251
17,Tower,0.016833989
17,Tower,0.756068736
17,Tower,0.373831508
17,Tower,-0.041017478
17,Tower,-0.293726605
17,Tower,-3.044137854
17,Tower,0.104233523
17,Tower,0.048065648
17,Tower,-0.686225724
17,Tower,1.145507365
17,Tower,0.510884637
18,Tower,-0.207475122
18,Tower,-1.228594094
18,Tower,0.223978227
18,Tower,0.437032034
18,Tower,-0.007617792
18,Tower,1.167299574
18,Tower,0.644113893
18,Tower,0.157438875
18,Tower,1.035375522
18,Tower,1.888171622
18,Tower,2.281482884
18,Tower,0.792506124
18,Tower,2.087161574
18,Tower,0.572636227
19,Tower,0.71110277
19,Tower,-1.002065483
19,Tower,2.453019529
19,Tower,1.857195819
19,Tower,-0.53229102
19,Tower,-0.004468833
19,Tower,1.616816638
19,Tower,2.033210752
19,Tower,-0.569191986
19,Tower,2.317302434
19,Tower,-36.31774312
19,Tower,1.682911473
19,Tower,1.609856061
19,Tower,-5.417387081
