Date,Month,Interval,Veg,mil_time,Name,chamber,Site,CO2_Flux,CO2_NRMSE,CH4_Flux,CH4_NRMSE,Bubble_Flux,Temp,Depth,cdepth,level,presens1,presens6,Notes
10122022,October,morning,n,7,Oct_O7A,1,O1: 7AM,0.858013,0.084707,0.016934,0.117785,0,14.55,1.03,1.01,medium,5.22,2.7,
10122022,October,morning,n,7,Oct_O7A,2,O2: 7 AM,0.860487,0.097026,0.046692,0.380863,0,14.65,1.03,1.01,medium,5.22,2.7,
10122022,October,morning,n,7,Oct_O7A,3,O3: 7 AM,0.611596,0.112227,0.01001,1.423266,0.010519,12.55,1.03,1.01,medium,5.22,2.7,
10122022,October,morning,n,8,Oct_O8,7,O1: 8 AM,0.716572,0.252681,0.032835,0.835597,0.017212,14.9,1.01,1.02,medium,5.22,2.7,
10122022,October,morning,n,8,Oct_O8,8,O2: 8 AM,0.955639,0.111159,0.074638,0.52918,0,14.5,1.01,1.02,medium,5.22,2.7,
10122022,October,morning,n,8,Oct_O8,9,O3: 8 AM,0.355907,0.095286,0.003553,0.093791,0,13.2,1.01,1.02,medium,5.22,2.7,
10122022,October,morning,n,9,Oct_O9,13,O1: 9 AM,0.457291,0.077898,0.006658,0.07394,0,15.5,1.02,1.01,medium,5.22,2.7,
10122022,October,morning,n,9,Oct_O9,14,O2: 9 AM,0.966403,0.131645,0.057629,1.063778,0.007819,15.45,1.02,1.01,medium,5.22,2.7,
10122022,October,morning,n,9,Oct_O9,15,O3: 9 AM,0.372057,0.061424,0.002882,0.09298,0,14.2,1.02,1.01,medium,5.22,2.7,
10122022,October,morning,n,10,Oct_O10,19,O1: 10 AM,0.190362,0.076807,0.003748,0.069208,0,17.05,1.01,1.01,medium,5.22,2.7,
10122022,October,morning,n,10,Oct_O10,20,O2: 10 AM,0.825371,0.102022,0.062642,0.312185,0,17.05,1.01,1.01,medium,5.22,2.7,
10122022,October,morning,n,10,Oct_O10,21,O3: 10 AM,-0.231525,0.120853,0.003265,0.181094,0,17.25,1.01,1.01,medium,5.22,2.7,
