mil_time,variable,value
7,Tower,0.709947532
7,Tower,1.601783678
7,Tower,6.043749135
7,Tower,1.84402662
7,Tower,-0.424609662
7,Tower,12.13179953
7,Tower,19.43551394
7,Tower,-0.346527204
7,Tower,2.965581954
7,Tower,2.392550662
7,Tower,2.264438637
7,Tower,7.452098564
7,Tower,27.56027846
7,Tower,60.19923787
8,Tower,-0.26043414
8,Tower,2.280270612
8,Tower,-0.239803609
8,Tower,-1.32168001
8,Tower,2.844100256
8,Tower,15.2419635
8,Tower,20.05922963
8,Tower,0.726236271
8,Tower,2.089309388
8,Tower,10.02147829
8,Tower,-2.656748953
8,Tower,-0.834497324
8,Tower,6.624998395
8,Tower,-1.932244299
9,Tower,-1.847516664
9,Tower,-1.899805202
9,Tower,2.847948574
9,Tower,-3.094591609
9,Tower,-1.807423569
9,Tower,-4.51028588
9,Tower,1.441375655
9,Tower,-11.21073292
9,Tower,-3.600303545
9,Tower,-3.137318922
9,Tower,-3.144201312
9,Tower,-3.965689215
9,Tower,-8.934015204
9,Tower,-3.03943125
10,Tower,-16.73175536
10,Tower,-3.440099753
10,Tower,-8.055322961
10,Tower,-4.767869184
10,Tower,-2.744332464
10,Tower,-5.811384122
10,Tower,-9.51951097
10,Tower,-6.567627528
10,Tower,-5.08913673
10,Tower,20.81209637
10,Tower,-4.767862053
10,Tower,-6.232285909
10,Tower,-4.561460958
10,Tower,-6.61181558
11,Tower,-6.268258625
11,Tower,-6.455059681
11,Tower,-8.274852528
11,Tower,-4.437555814
11,Tower,-7.096501281
11,Tower,-9.101891304
11,Tower,-8.737496961
11,Tower,-5.49115962
11,Tower,-2.611880178
11,Tower,172.2293548
11,Tower,-6.074259049
11,Tower,-5.509992696
11,Tower,-20.40074517
11,Tower,-8.119050622
12,Tower,-5.740414526
12,Tower,-8.87117439
12,Tower,-13.22487151
12,Tower,-6.423056867
12,Tower,-6.81722701
12,Tower,-6.448714772
12,Tower,-12.95923001
12,Tower,-8.561418187
12,Tower,-9.186465436
12,Tower,-2.325929426
12,Tower,-5.514870301
12,Tower,-14.02840239
12,Tower,-4.974657069
12,Tower,-6.994157846
13,Tower,-9.202125153
13,Tower,-7.636223042
13,Tower,-3.928467945
13,Tower,-10.83574868
13,Tower,-8.168774997
13,Tower,-6.933178744
13,Tower,-6.701863358
13,Tower,-6.287753411
13,Tower,-2.363243976
13,Tower,-7.736599664
13,Tower,-6.428430499
13,Tower,-6.019263895
13,Tower,-3.291420211
13,Tower,-4.953677762
14,Tower,-2.419201788
14,Tower,-8.715227382
14,Tower,-10.34968015
14,Tower,-6.297839124
14,Tower,-6.818719051
14,Tower,-7.315691145
14,Tower,-4.904262876
14,Tower,13.41841698
14,Tower,-6.181322273
14,Tower,-6.68567524
14,Tower,-10.62044682
14,Tower,-7.828725021
14,Tower,-5.695058803
14,Tower,-7.097658588
15,Tower,-6.570473249
15,Tower,-6.438951625
15,Tower,-8.917928723
15,Tower,-8.700469832
15,Tower,-8.345934984
15,Tower,-5.719290291
15,Tower,-6.081466797
15,Tower,-3.265818253
15,Tower,-9.502184728
15,Tower,-6.471442381
15,Tower,-8.579474095
15,Tower,-7.719637172
15,Tower,-11.55768249
15,Tower,-5.514796651
16,Tower,-5.660242082
16,Tower,-4.353391962
16,Tower,-5.971948362
16,Tower,-5.852681083
16,Tower,-9.282344143
16,Tower,-5.740524442
16,Tower,-4.49206085
16,Tower,-10.42980286
16,Tower,-8.833447745
16,Tower,-5.276811005
16,Tower,-6.711640026
16,Tower,-9.428039096
16,Tower,-5.265737956
16,Tower,-3.690701091
17,Tower,-4.770744802
17,Tower,-5.656114487
17,Tower,-7.87595566
17,Tower,-4.432565237
17,Tower,-5.887995197
17,Tower,-4.583326822
17,Tower,-5.777834004
17,Tower,-2.861263096
17,Tower,-4.530872736
17,Tower,-4.516615936
17,Tower,-8.523611574
17,Tower,-4.708131779
17,Tower,-2.935106722
17,Tower,-3.233372311
18,Tower,-2.406359199
18,Tower,-2.90547064
18,Tower,-2.766104436
18,Tower,-3.161767777
18,Tower,-3.912682998
18,Tower,-3.502740199
18,Tower,-2.222827693
18,Tower,-0.377615029
18,Tower,-2.641395283
18,Tower,-2.330523931
18,Tower,-2.241972313
18,Tower,-2.66963083
18,Tower,-0.71102117
18,Tower,-0.022613157
19,Tower,0.915274713
19,Tower,-1.438605408
19,Tower,-0.703544467
19,Tower,0.047997093
19,Tower,-1.130162498
19,Tower,-14.99547516
19,Tower,-0.12351207
19,Tower,-1.051725729
19,Tower,4.481545966
19,Tower,-1.276013986
19,Tower,7.153281178
19,Tower,-0.02456543
19,Tower,0.510026948
19,Tower,2.850777536
