Date,Month,Interval,Veg,mil_time,Name,chamber,Site,CO2_Flux,CO2_NRMSE,CH4_Flux,CH4_NRMSE,Bubble_Flux,Temp,Depth,cdepth,level,presens1,presens6,Notes
9142022,September,morning,n,7,Sept_O7A,3,O3: 7 AM,3.703702,0.566334,0.114583,1.214631,0.036401,17,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,n,8,Sept_O8,7,O1: 8 AM,0.519804,0.63552,0.014655,0.591841,0,17.15,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,n,8,Sept_O8,8,O2: 8 AM,0.591299,0.790645,-0.011125,0.222086,0.002318,17.3,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,n,8,Sept_O8,9,O3: 8 AM,0.709288,0.584328,0.018643,0.24973,0,19.1,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,n,9,Sept_O9,13,O1: 9 AM,0.535866,1.223162,0.017736,0.317454,0,18.75,1.08,1.01,medium,3.23,1.67,
9142022,September,morning,n,9,Sept_O9,14,O2: 9 AM,0.25338,0.177045,0.014694,0.421756,0.225395,18.6,1.08,1.01,medium,3.23,1.67,
9142022,September,morning,n,9,Sept_O9,15,O3: 9 AM,0.829218,0.166349,0.00591,0.216183,0,18.3,1.08,1.01,medium,3.23,1.67,
9142022,September,morning,n,10,Sept_O10,19,O1: 10 AM,0.132989,0.315104,0.00717,1.156729,0.008268,19.1,1.08,1.01,medium,3.23,1.67,
9142022,September,morning,n,10,Sept_O10,20,O2: 10 AM,0.597545,0.323241,-0.000372,2.687465,0.55561,19.1,1.08,1.01,medium,3.23,1.67,
9142022,September,morning,n,10,Sept_O10,21,O3: 10 AM,0.871296,0.252868,0.052762,1.187884,0.111313,19.5,1.08,1.01,medium,3.23,1.67,
9142022,September,afternoon,n,11,Sept_O11,25,O1: 11 AM,0.435162,0.632208,0.015448,0.200492,0,20.45,1.08,1.01,medium,3.23,1.67,
9142022,September,afternoon,n,11,Sept_O11,26,O2: 11 AM,0.074533,0.160929,0.012276,0.265024,0,20.2,1.08,1.01,medium,3.23,1.67,
9142022,September,afternoon,n,11,Sept_O11,27,O3: 11 AM,0.403703,0.141541,0.004505,0.19748,0,19.8,1.08,1.01,medium,3.23,1.67,
