Date,Month,Interval,Veg,mil_time,Name,chamber,Site,CO2_Flux,CO2_NRMSE,CH4_Flux,CH4_NRMSE,Bubble_Flux,Temp,Depth,cdepth,level,presens1,presens6,Notes
9142022,September,morning,y,7,Sept_V7A,4,V1: 7 AM,0.513785,0.688492,0.115429,2.257345,0.135247,17.2,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,y,7,Sept_V7A,5,V2: 7 AM,1.243044,0.462415,0.047472,2.105059,0,16.7,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,y,7,Sept_V7A,6,V3: 7 AM,1.363705,0.901774,0.064589,1.064916,0,16.85,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,y,8,Sept_V8,10,V1: 8 AM,0.904516,0.377675,0.017525,0.46214,0.137694,17.75,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,y,8,Sept_V8,11,V2: 8 AM,0.454091,0.322325,0.050539,1.184549,0,17.35,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,y,8,Sept_V8,12,V3: 8 AM,0.544434,0.285113,0.042719,0.485357,0,17.75,1.07,1.01,medium,3.23,1.67,
9142022,September,morning,y,9,Sept_V9,16,V1: 9 AM,1.367382,0.683812,0.066122,1.338941,0.007015,18.8,1.08,1.01,medium,3.23,1.67,
9142022,September,morning,y,9,Sept_V9,17,V2: 9 AM,0.28676,0.965365,0.080213,2.805505,0.018795,18.7,1.08,1.02,medium,3.23,1.67,
9142022,September,morning,y,9,Sept_V9,18,V3: 9 AM,0.486004,1.424801,0.106537,1.466463,-0.010122,18.65,1.08,1.02,medium,3.23,1.67,
9142022,September,morning,y,10,Sept_V10,22,V1: 10 AM,-0.024169,1.552897,0.013984,2.037873,0.032683,19.85,1.08,1.01,medium,3.23,1.67,
9142022,September,morning,y,10,Sept_V10,23,V2: 10 AM,-0.235236,0.515826,0.028775,0.729718,0,19.8,1.08,1.01,medium,3.23,1.67,
9142022,September,morning,y,10,Sept_V10,24,V3: 10 AM,1.103864,0.52963,0.040006,2.320565,0.018164,19.35,1.08,1.01,medium,3.23,1.67,
9142022,September,afternoon,y,11,Sept_V11,28,V1: 11 AM,-7.105721,1.173428,0.035767,1.54935,0.041247,20.9,1.08,1.01,medium,3.23,1.67,
9142022,September,afternoon,y,11,Sept_V11,29,V2: 11 AM,-1.589208,0.345972,0.052945,1.149761,0.003016,20.6,1.08,1.01,medium,3.23,1.67,
