"","Date","Month","Interval","Veg","mil_time","Name","chamber","Site","CO2_Flux","CO2_NRMSE","CH4_Flux","CH4_NRMSE","Bubble_Flux","Temp","Depth","cdepth","level","presens1","presens6","Notes","h2o","h2o_cat","DOY"
"1",7062022,"July","Morning","Non-Vegetated",7,"7 AM",1,"O1: 7 AM",0.791021,0.21654,0.220238,11.605494,0.216695,22.9,1.15,1.15,"high",2.43,0.02,NA,0.23,"Flooded",187
"2",7062022,"July","Morning","Non-Vegetated",8,"8 AM",8,"O1: 8 AM",0.787955,0.272859,0.013638,0.162233,0,23.5,1.16,1.14,"high",2.43,0.02,NA,0.23,"Flooded",187
"3",7062022,"July","Morning","Non-Vegetated",9,"9 AM",14,"O1: 9 AM",0.915069,0.188345,0.0245,0.457778,0,24.05,1.15,1.13,"high",2.43,0.02,NA,0.23,"Flooded",187
"4",7062022,"July","Morning","Non-Vegetated",10,"10 AM",20,"O1: 10 AM",0.720626,0.179717,0.013727,0.138316,0,24.3,1.16,1.15,"high",2.43,0.02,NA,0.23,"Flooded",187
"5",7062022,"July","Morning","Non-Vegetated",10,"10 AM",21,"O2: 10 AM",0.004526,2.538295,-0.161421,2.387998,0.34489,24.35,1.16,1.15,"high",2.43,0.02,NA,0.23,"Flooded",187
"6",7062022,"July","Morning","Non-Vegetated",10,"10 AM",22,"O3: 10 AM",-0.00905,1.035026,0.014107,1.59321,0.249776,23,1.17,1.16,"high",2.43,0.02,NA,0.23,"Flooded",187
"7",7062022,"July","Afternoon","Non-Vegetated",11,"11 AM",26,"O1: 11 AM",0.712494,0.103608,0.024636,0.194762,0,23.6,1.17,1.16,"high",2.43,0.02,NA,0.23,"Flooded",187
"8",7062022,"July","Afternoon","Non-Vegetated",11,"11 AM",27,"O2: 11 AM",0.555443,0.187719,0.089375,0.358294,0,24,1.17,1.16,"high",2.43,0.02,NA,0.23,"Flooded",187
"9",7062022,"July","Afternoon","Non-Vegetated",11,"11 AM",28,"O3: 11 AM",0.095696,0.205311,0.282824,1.214406,0,24.55,1.18,1.17,"high",2.43,0.02,NA,0.23,"Flooded",187
"10",7062022,"July","Afternoon","Non-Vegetated",12,"12 PM",32,"O1: 12 PM",0.653008,0.175775,0.021175,0.164497,0,25.65,1.19,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"11",7062022,"July","Afternoon","Non-Vegetated",12,"12 PM",34,"O3: 12 PM",-0.910083,0.245252,0.152274,1.938534,0.320183,24.95,1.19,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"12",7062022,"July","Afternoon","Non-Vegetated",13,"1 PM",38,"O1: 1 PM",0.523753,0.404832,0.014422,0.192367,0,25.1,1.2,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"13",7062022,"July","Afternoon","Non-Vegetated",13,"1 PM",40,"O3: 1 PM",-0.456589,0.207807,0.04292,0.349882,0,24.1,1.2,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"14",7062022,"July","Afternoon","Non-Vegetated",14,"2 PM",44,"O1: 2 PM",0.54263,0.377388,0.018916,0.240651,0,24.3,1.2,1.19,"high",2.43,0.02,NA,0.23,"Flooded",187
"15",7062022,"July","Afternoon","Non-Vegetated",14,"2 PM",45,"O2: 2 PM",0.474523,0.217865,0.020005,0.258467,0,24.3,1.2,1.19,"high",2.43,0.02,NA,0.23,"Flooded",187
"16",7062022,"July","Afternoon","Non-Vegetated",14,"2 PM",46,"O3: 2 PM",-0.296459,0.297588,0.033657,0.287934,0,24.15,1.2,1.18,"high",2.43,0.02,NA,0.23,"Flooded",187
"17",7062022,"July","Evening","Non-Vegetated",15,"3 PM",50,"O1: 3 PM",0.870259,0.566946,0.018931,0.381781,0,24.9,1.21,1.2,"high",2.43,0.02,NA,0.23,"Flooded",187
"18",7062022,"July","Evening","Non-Vegetated",15,"3 PM",51,"O2: 3 PM",0.549002,0.278811,0.191101,2.597202,-0.044359,24.95,1.21,1.2,"high",2.43,0.02,NA,0.23,"Flooded",187
